COUNTRY,SUBBRAND,YEAR,MONTH,SCENARIO,FORECAST,FORECAST_YEAR,AMOUNT
Hungary,Lipton (L3),2024,7,AI_forecast,AI_P07F,2023,398504.13107328786
Norway,Pepsi Regular (L3),2025,3,AI_forecast,AI_P11F,2023,26811.224032854698
Spain,7up (L3),2024,2,AI_forecast,AI_P08F,2023,59416.40457759978
Czech,Mountain Dew (L3),2023,10,AI_forecast,AI_P08F,2023,95172.6119006296
Great Britain,Pepsi Regular (L3),2024,3,AI_forecast,AI_P03F,2023,1546622.704500015
Spain,Pepsi Max (L3),2024,8,AI_forecast,AI_P11F,2023,148819.27758957
Great Britain,7up (L3),2023,12,AI_forecast,AI_P12F,2023,227497.63873002774
Denmark,7up (L3),2023,10,AI_forecast,AI_P09F,2023,0.0
Portugal,Pepsi Max (L3),2023,7,AI_forecast,AI_P04F,2023,224472.65022321552
Czech,Lipton (L3),2023,12,AI_forecast,AI_P07F,2023,264082.80749076436
Denmark,Pepsi Max (L3),2024,12,AI_forecast,AI_P08F,2023,2928501.0226721964
Netherlands,7up Free (L3),2024,4,AI_forecast,AI_P04F,2023,94698.92037023645
Great Britain,7up (L3),2023,12,AI_forecast,AI_P09F,2023,159359.16782677235
Spain,Lipton (L3),2023,6,AI_forecast,AI_P06F,2023,12362.611877307972
Great Britain,7up (L3),2023,3,AI_forecast,AI_PF,2023,273571.45017872454
Denmark,Pepsi Regular (L3),2023,11,AI_forecast,AI_P05F,2023,191729.39021336596
Norway,Pepsi Regular (L3),2024,8,AI_forecast,AI_P03F,2023,39298.68039178512
Norway,Lipton (L3),2024,3,AI_forecast,AI_P12F,2023,15609.032890736487
Norway,7up Free (L3),2023,3,AI_forecast,AI_PF,2023,36805.144888132454
Denmark,7up Free (L3),2024,1,AI_forecast,AI_P11F,2023,22532.21228192623
Denmark,Pepsi Max (L3),2024,3,AI_forecast,AI_P10F,2023,2011501.691574213
Great Britain,Lipton (L3),2024,11,AI_forecast,AI_P07F,2023,637474.1863805209
Great Britain,Lipton (L3),2024,3,AI_forecast,AI_P09F,2023,672426.5053262755
Norway,Pepsi Max (L3),2023,6,AI_forecast,AI_P04F,2023,2598744.7390563763
Spain,Pepsi Regular (L3),2024,7,AI_forecast,AI_P11F,2023,176060.634503436
Netherlands,Lipton (L3),2023,7,AI_forecast,AI_P06F,2023,2169394.853140154
Portugal,Lipton (L3),2024,11,AI_forecast,AI_P09F,2023,619012.4008353379
Hungary,Pepsi Max (L3),2024,6,AI_forecast,AI_P06F,2023,621318.7411187674
Spain,Pepsi Max (L3),2024,4,AI_forecast,AI_P07F,2023,79084.86613152765
Spain,Lipton (L3),2023,11,AI_forecast,AI_P02F,2023,6674.631451769315
Norway,Pepsi Regular (L3),2024,6,AI_forecast,AI_P06F,2023,48569.756269169884
Italy,7up (L3),2023,5,AI_forecast,AI_P05F,2023,28109.65646461617
Norway,Pepsi Max (L3),2024,11,AI_forecast,AI_P11F,2023,2233871.2518363805
Norway,Pepsi Max (L3),2023,9,AI_forecast,AI_P03F,2023,2125706.4947744184
Netherlands,Lipton (L3),2023,12,AI_forecast,AI_P12F,2023,1346216.541581388
Spain,Pepsi Max (L3),2024,4,AI_forecast,AI_P11F,2023,106730.08702386219
Norway,7up (L3),2024,5,AI_forecast,AI_P10F,2023,3771.0684149713084
Netherlands,Pepsi Max (L3),2023,2,AI_forecast,AI_PF,2023,737139.5702426707
Norway,Pepsi Max (L3),2024,2,AI_forecast,AI_PF,2023,2428404.7023768723
Netherlands,7up (L3),2024,5,AI_forecast,AI_P09F,2023,83064.25262762849
Spain,Pepsi Regular (L3),2023,7,AI_forecast,AI_P02F,2023,151395.16727270224
Portugal,Lipton (L3),2024,8,AI_forecast,AI_P06F,2023,1314620.073041648
Italy,Pepsi Max (L3),2023,5,AI_forecast,AI_P02F,2023,152502.45888271878
Czech,Pepsi Regular (L3),2024,6,AI_forecast,AI_PF,2023,1160853.0414802646
Italy,7up (L3),2023,7,AI_forecast,AI_P03F,2023,25504.367488960896
Netherlands,Lipton (L3),2024,3,AI_forecast,AI_P08F,2023,1411924.6474075434
Portugal,Pepsi Regular (L3),2023,4,AI_forecast,AI_P04F,2023,167729.87608636793
Italy,7up (L3),2024,6,AI_forecast,AI_P02F,2023,26908.11007555727
Great Britain,Pepsi Max (L3),2023,2,AI_forecast,AI_PF,2023,1.1174182539700598E7
Denmark,Pepsi Max (L3),2025,4,AI_forecast,AI_P11F,2023,2486724.022421173
Great Britain,Lipton (L3),2024,7,AI_forecast,AI_P03F,2023,887561.9612457699
Spain,Pepsi Max (L3),2024,9,AI_forecast,AI_P11F,2023,160614.41431850963
Portugal,7up (L3),2024,10,AI_forecast,AI_P08F,2023,224131.45770794223
Great Britain,Mountain Dew (L3),2024,5,AI_forecast,AI_P05F,2023,177805.42802332898
Spain,Lipton (L3),2024,7,AI_forecast,AI_P11F,2023,14631.079115008868
Great Britain,7up (L3),2025,3,AI_forecast,AI_P10F,2023,22388.282860924723
Great Britain,7up (L3),2024,9,AI_forecast,AI_P05F,2023,379740.3633500949
Czech,7up (L3),2024,1,AI_forecast,AI_PF,2023,47867.1673832792
Spain,Pepsi Regular (L3),2024,11,AI_forecast,AI_P09F,2023,239531.52163147047
Spain,Pepsi Regular (L3),2024,5,AI_forecast,AI_P10F,2023,102656.64821811381
Netherlands,Pepsi Regular (L3),2024,2,AI_forecast,AI_P10F,2023,458670.36315274576
Hungary,Pepsi Max (L3),2023,12,AI_forecast,AI_P09F,2023,554584.2230346985
Denmark,Pepsi Max (L3),2024,2,AI_forecast,AI_P08F,2023,2681112.6415042933
Denmark,Pepsi Max (L3),2024,12,AI_forecast,AI_P11F,2023,2812221.9382025134
Great Britain,7up Free (L3),2023,8,AI_forecast,AI_PF,2023,1566400.1731983873
Spain,Pepsi Max (L3),2024,6,AI_forecast,AI_P05F,2023,114587.74567208094
Norway,7up (L3),2024,12,AI_forecast,AI_P07F,2023,0.0
Norway,Mountain Dew (L3),2023,10,AI_forecast,AI_P07F,2023,3440.21585039509
Czech,Pepsi Regular (L3),2023,7,AI_forecast,AI_P02F,2023,1032270.9085019677
Norway,Pepsi Max (L3),2024,3,AI_forecast,AI_P07F,2023,2951245.3477134784
Spain,Pepsi Regular (L3),2024,7,AI_forecast,AI_P07F,2023,276490.92233430507
Norway,Lipton (L3),2024,10,AI_forecast,AI_P05F,2023,10536.928217403027
Denmark,Pepsi Regular (L3),2024,11,AI_forecast,AI_P08F,2023,201366.24449459717
Netherlands,Pepsi Max (L3),2024,6,AI_forecast,AI_P02F,2023,1209655.4797543117
Great Britain,7up (L3),2023,9,AI_forecast,AI_P06F,2023,213333.11713391385
Hungary,Lipton (L3),2023,9,AI_forecast,AI_P03F,2023,404187.47857402853
Denmark,7up Free (L3),2024,7,AI_forecast,AI_P11F,2023,27761.402668079787
Great Britain,Pepsi Regular (L3),2023,2,AI_forecast,AI_P02F,2023,1119184.9624847805
Hungary,7up (L3),2023,10,AI_forecast,AI_P05F,2023,40129.56986906262
Hungary,Pepsi Regular (L3),2024,10,AI_forecast,AI_P12F,2023,902127.4990244275
Netherlands,Pepsi Max (L3),2023,9,AI_forecast,AI_P04F,2023,923119.4939664721
Spain,7up Free (L3),2024,6,AI_forecast,AI_P05F,2023,72277.17433047594
Great Britain,7up (L3),2023,5,AI_forecast,AI_P05F,2023,144797.46823992243
Norway,Pepsi Regular (L3),2024,8,AI_forecast,AI_P05F,2023,41859.17235514898
Hungary,Pepsi Max (L3),2024,4,AI_forecast,AI_P02F,2023,354650.86926600756
Great Britain,Pepsi Regular (L3),2023,9,AI_forecast,AI_P03F,2023,1993607.2709693986
Denmark,Pepsi Max (L3),2024,3,AI_forecast,AI_P06F,2023,2326547.624508619
Great Britain,Pepsi Regular (L3),2024,10,AI_forecast,AI_P06F,2023,1182380.429383088
Hungary,Mountain Dew (L3),2023,11,AI_forecast,AI_P06F,2023,33936.25441199965
Great Britain,7up Free (L3),2023,7,AI_forecast,AI_P05F,2023,1525376.6780550487
Denmark,Pepsi Regular (L3),2023,6,AI_forecast,AI_P03F,2023,149638.52701151828
Spain,Pepsi Regular (L3),2024,5,AI_forecast,AI_P07F,2023,128734.4778932947
Czech,Pepsi Regular (L3),2024,4,AI_forecast,AI_P05F,2023,1051694.3224601224
Norway,Pepsi Regular (L3),2023,8,AI_forecast,AI_P08F,2023,45749.84349124265
Norway,Pepsi Max (L3),2023,8,AI_forecast,AI_P04F,2023,3144826.497112219
Netherlands,Lipton (L3),2023,12,AI_forecast,AI_P06F,2023,1742828.7873796122
Portugal,Pepsi Max (L3),2024,11,AI_forecast,AI_P10F,2023,207506.44633949336
Netherlands,Pepsi Regular (L3),2023,9,AI_forecast,AI_PF,2023,596366.679759223
Hungary,Mountain Dew (L3),2023,11,AI_forecast,AI_P03F,2023,34165.34769310627
Italy,Pepsi Regular (L3),2023,8,AI_forecast,AI_P08F,2023,2051196.1057522807
Great Britain,Lipton (L3),2024,11,AI_forecast,AI_P06F,2023,613891.0990087449
Netherlands,7up Free (L3),2024,4,AI_forecast,AI_P07F,2023,134109.78768310836
Spain,7up Free (L3),2024,9,AI_forecast,AI_P11F,2023,88361.90976048344
Czech,Pepsi Regular (L3),2023,4,AI_forecast,AI_P02F,2023,1031140.8844562141
Netherlands,Pepsi Max (L3),2023,7,AI_forecast,AI_P06F,2023,872797.7198390072
Great Britain,7up (L3),2024,2,AI_forecast,AI_P10F,2023,81636.85150219138
Great Britain,7up (L3),2024,1,AI_forecast,AI_P07F,2023,0.0
Norway,Pepsi Max (L3),2025,2,AI_forecast,AI_P11F,2023,2925169.3360486585
Spain,Pepsi Regular (L3),2024,6,AI_forecast,AI_P05F,2023,141947.04887206422
Norway,Pepsi Max (L3),2024,4,AI_forecast,AI_P07F,2023,3250084.2343108235
Norway,Lipton (L3),2023,10,AI_forecast,AI_P09F,2023,8420.312177417214
Great Britain,Lipton (L3),2024,10,AI_forecast,AI_P07F,2023,679649.0988372291
Denmark,Pepsi Max (L3),2024,5,AI_forecast,AI_P09F,2023,3344911.254235992
Great Britain,Lipton (L3),2024,10,AI_forecast,AI_P11F,2023,732671.3925029639
Italy,Pepsi Regular (L3),2023,9,AI_forecast,AI_P07F,2023,1731008.1283804604
Great Britain,7up Free (L3),2024,12,AI_forecast,AI_P07F,2023,579639.413304884
Great Britain,Mountain Dew (L3),2024,1,AI_forecast,AI_P08F,2023,112784.45912717766
Spain,Pepsi Max (L3),2023,11,AI_forecast,AI_P07F,2023,110577.51792695903
Portugal,7up (L3),2023,2,AI_forecast,AI_PF,2023,241608.05392344197
Great Britain,Mountain Dew (L3),2023,11,AI_forecast,AI_P04F,2023,160754.9047535234
Great Britain,7up (L3),2023,3,AI_forecast,AI_P03F,2023,385857.67715245154
Norway,Pepsi Max (L3),2023,11,AI_forecast,AI_P08F,2023,2226615.6335818884
Norway,Lipton (L3),2024,10,AI_forecast,AI_P07F,2023,10739.017257859574
Denmark,7up Free (L3),2024,6,AI_forecast,AI_P11F,2023,22523.37358933158
Spain,7up (L3),2023,6,AI_forecast,AI_P04F,2023,83350.35781319276
Hungary,Pepsi Max (L3),2024,7,AI_forecast,AI_P04F,2023,425717.3559702929
Spain,Pepsi Max (L3),2024,1,AI_forecast,AI_P07F,2023,126995.83594053355
Netherlands,Pepsi Regular (L3),2024,6,AI_forecast,AI_P07F,2023,515546.70870381803
Spain,7up (L3),2023,10,AI_forecast,AI_P05F,2023,77641.42243320371
Denmark,Pepsi Max (L3),2024,1,AI_forecast,AI_P06F,2023,2024998.3882939212
Great Britain,Lipton (L3),2023,9,AI_forecast,AI_P09F,2023,683586.6862619121
Denmark,Pepsi Max (L3),2024,5,AI_forecast,AI_P10F,2023,2148844.7702530143
Czech,Lipton (L3),2023,8,AI_forecast,AI_P07F,2023,345424.5514142923
Hungary,7up (L3),2023,5,AI_forecast,AI_P05F,2023,66917.40899587321
Denmark,Mountain Dew (L3),2024,5,AI_forecast,AI_PF,2023,18740.595176252897
Denmark,Pepsi Max (L3),2024,1,AI_forecast,AI_P08F,2023,1771971.7862411425
Great Britain,7up Free (L3),2023,11,AI_forecast,AI_PF,2023,1490622.4014420009
Netherlands,Pepsi Max (L3),2023,10,AI_forecast,AI_P06F,2023,857027.4770492355
Portugal,Lipton (L3),2023,8,AI_forecast,AI_P05F,2023,1258444.825340923
Great Britain,Pepsi Max (L3),2025,3,AI_forecast,AI_P12F,2023,1.00063370506409E7
Hungary,Pepsi Max (L3),2023,9,AI_forecast,AI_P09F,2023,555478.001135918
Denmark,Pepsi Max (L3),2023,8,AI_forecast,AI_P04F,2023,2174136.2403344274
Italy,Pepsi Max (L3),2024,10,AI_forecast,AI_P08F,2023,172704.1410044653
Hungary,Mountain Dew (L3),2024,1,AI_forecast,AI_P02F,2023,37104.56451764097
Great Britain,7up Free (L3),2024,7,AI_forecast,AI_P09F,2023,1847118.8642905385
Great Britain,7up Free (L3),2024,10,AI_forecast,AI_P05F,2023,851122.1925926788
Netherlands,Pepsi Max (L3),2024,2,AI_forecast,AI_P12F,2023,848300.2425106652
Netherlands,Pepsi Max (L3),2023,9,AI_forecast,AI_P07F,2023,912704.3160714041
Norway,Pepsi Max (L3),2024,6,AI_forecast,AI_P06F,2023,2886031.4970530565
Hungary,Pepsi Max (L3),2023,2,AI_forecast,AI_PF,2023,438843.6578360947
Netherlands,Pepsi Regular (L3),2024,1,AI_forecast,AI_P10F,2023,526277.8715285377
Denmark,Pepsi Regular (L3),2024,1,AI_forecast,AI_P10F,2023,218086.47165627492
Netherlands,Pepsi Max (L3),2023,3,AI_forecast,AI_P03F,2023,855035.7837761998
Netherlands,Lipton (L3),2024,2,AI_forecast,AI_P06F,2023,1247192.1813881572
Portugal,Lipton (L3),2023,6,AI_forecast,AI_P06F,2023,951173.2871577318
Portugal,Lipton (L3),2023,9,AI_forecast,AI_PF,2023,724507.1917546439
Hungary,Pepsi Max (L3),2023,11,AI_forecast,AI_P11F,2023,414434.4542904985
Czech,Mountain Dew (L3),2023,12,AI_forecast,AI_P11F,2023,82252.97551878718
Great Britain,Pepsi Regular (L3),2024,7,AI_forecast,AI_P12F,2023,1199312.4201849995
Great Britain,7up Free (L3),2025,1,AI_forecast,AI_P09F,2023,375749.19638857944
Great Britain,7up Free (L3),2023,12,AI_forecast,AI_P12F,2023,1321787.694649278
Great Britain,7up Free (L3),2024,9,AI_forecast,AI_P12F,2023,761855.2760983942
Great Britain,7up (L3),2023,6,AI_forecast,AI_P02F,2023,342857.1409825971
Spain,Lipton (L3),2024,12,AI_forecast,AI_P07F,2023,13071.118421084906
Norway,7up Free (L3),2024,4,AI_forecast,AI_PF,2023,35741.344726951094
Great Britain,Lipton (L3),2024,1,AI_forecast,AI_P11F,2023,544906.4508161871
Denmark,Pepsi Max (L3),2024,10,AI_forecast,AI_P08F,2023,2656231.4043231606
Netherlands,Pepsi Max (L3),2024,6,AI_forecast,AI_PF,2023,1157297.2161936497
Netherlands,Pepsi Max (L3),2024,3,AI_forecast,AI_P04F,2023,855145.4873104217
Great Britain,7up (L3),2023,4,AI_forecast,AI_P03F,2023,142104.4664108591
Portugal,Pepsi Regular (L3),2024,6,AI_forecast,AI_PF,2023,121288.48981855328
Spain,Pepsi Regular (L3),2023,8,AI_forecast,AI_P06F,2023,215204.79867861466
Portugal,Lipton (L3),2024,4,AI_forecast,AI_P10F,2023,648678.2459552315
Great Britain,Pepsi Max (L3),2023,9,AI_forecast,AI_P02F,2023,1.15717286746624E7
Great Britain,Pepsi Max (L3),2023,3,AI_forecast,AI_P03F,2023,1.1785905475137273E7
Great Britain,Pepsi Regular (L3),2023,12,AI_forecast,AI_PF,2023,1315753.6956625702
Great Britain,7up Free (L3),2023,6,AI_forecast,AI_P06F,2023,1567485.9107018744
Great Britain,7up (L3),2024,5,AI_forecast,AI_P09F,2023,78370.20631006076
Norway,Mountain Dew (L3),2023,7,AI_forecast,AI_PF,2023,12276.129019137343
Portugal,Pepsi Max (L3),2023,4,AI_forecast,AI_P03F,2023,173698.78520002495
Portugal,7up Free (L3),2024,4,AI_forecast,AI_P10F,2023,133352.61910167677
Great Britain,Lipton (L3),2024,4,AI_forecast,AI_P09F,2023,767275.0578606334
Netherlands,Pepsi Max (L3),2024,7,AI_forecast,AI_P12F,2023,953532.3891585873
Netherlands,7up (L3),2023,11,AI_forecast,AI_P04F,2023,64292.68992931596
Norway,Pepsi Max (L3),2025,4,AI_forecast,AI_P11F,2023,2319915.2329564514
Denmark,7up Free (L3),2023,9,AI_forecast,AI_P03F,2023,10197.782581996742
Hungary,Pepsi Max (L3),2023,9,AI_forecast,AI_P03F,2023,486428.85401973187
Great Britain,Pepsi Regular (L3),2023,4,AI_forecast,AI_PF,2023,1361962.1932599642
Italy,Pepsi Max (L3),2025,4,AI_forecast,AI_P11F,2023,204106.314659725
Czech,Pepsi Regular (L3),2024,3,AI_forecast,AI_P10F,2023,1007838.3910430119
Netherlands,Lipton (L3),2024,6,AI_forecast,AI_PF,2023,1829127.087585847
Portugal,Pepsi Regular (L3),2024,3,AI_forecast,AI_P03F,2023,131401.12805244038
Portugal,Pepsi Max (L3),2023,5,AI_forecast,AI_P02F,2023,163083.72220443274
Hungary,7up Free (L3),2023,11,AI_forecast,AI_P03F,2023,13323.776179439676
Great Britain,Pepsi Max (L3),2023,10,AI_forecast,AI_PF,2023,1.0269669323883334E7
Hungary,Mountain Dew (L3),2024,11,AI_forecast,AI_P08F,2023,36394.45129005809
Italy,Pepsi Regular (L3),2024,8,AI_forecast,AI_P11F,2023,2037238.7667547567
Netherlands,Pepsi Max (L3),2023,10,AI_forecast,AI_P10F,2023,919664.499209083
Netherlands,Pepsi Max (L3),2023,9,AI_forecast,AI_P05F,2023,893010.6372321949
Hungary,Lipton (L3),2023,9,AI_forecast,AI_PF,2023,383511.9671901952
Spain,Pepsi Regular (L3),2024,2,AI_forecast,AI_P09F,2023,131073.6959569742
Netherlands,Pepsi Regular (L3),2024,10,AI_forecast,AI_P10F,2023,599455.9559755711
Great Britain,7up Free (L3),2024,10,AI_forecast,AI_P06F,2023,1554543.9737936782
Spain,Pepsi Max (L3),2024,9,AI_forecast,AI_P06F,2023,126379.7368089038
Netherlands,Pepsi Max (L3),2023,10,AI_forecast,AI_PF,2023,1033677.5319502908
Netherlands,Pepsi Max (L3),2024,4,AI_forecast,AI_P03F,2023,891495.5662343033
Denmark,7up (L3),2024,11,AI_forecast,AI_P09F,2023,0.0
Denmark,7up (L3),2023,9,AI_forecast,AI_P05F,2023,0.0
Portugal,Lipton (L3),2024,8,AI_forecast,AI_P04F,2023,1217828.560506361
Norway,Lipton (L3),2024,8,AI_forecast,AI_P04F,2023,10497.537739734855
Great Britain,Pepsi Max (L3),2024,9,AI_forecast,AI_P12F,2023,1.1137938693868885E7
Denmark,Pepsi Max (L3),2024,9,AI_forecast,AI_P10F,2023,2435689.9295261074
Czech,Lipton (L3),2024,2,AI_forecast,AI_P05F,2023,215886.01738397183
Spain,7up Free (L3),2024,6,AI_forecast,AI_P11F,2023,76722.84437788573
Great Britain,7up (L3),2024,6,AI_forecast,AI_P06F,2023,72189.0615742508
Netherlands,Pepsi Max (L3),2024,11,AI_forecast,AI_P07F,2023,969045.0827226031
Norway,Pepsi Max (L3),2024,12,AI_forecast,AI_P09F,2023,1731894.7080480605
Netherlands,7up (L3),2024,5,AI_forecast,AI_P08F,2023,108383.82321974618
Netherlands,Lipton (L3),2025,1,AI_forecast,AI_P11F,2023,1263917.4440893584
Denmark,Mountain Dew (L3),2023,7,AI_forecast,AI_P05F,2023,35658.35954963346
Hungary,Pepsi Max (L3),2024,2,AI_forecast,AI_P09F,2023,427499.76642675936
Great Britain,Lipton (L3),2024,6,AI_forecast,AI_P12F,2023,893355.6168830566
Denmark,Pepsi Max (L3),2024,5,AI_forecast,AI_P09F,2023,2676718.5812422014
Spain,Pepsi Max (L3),2024,9,AI_forecast,AI_P08F,2023,161482.21055166182
Hungary,Pepsi Regular (L3),2024,1,AI_forecast,AI_P03F,2023,1543696.6488867565
Denmark,7up (L3),2024,11,AI_forecast,AI_P07F,2023,0.0
Norway,7up Free (L3),2023,11,AI_forecast,AI_P06F,2023,39442.187444762574
Hungary,Pepsi Max (L3),2024,6,AI_forecast,AI_P05F,2023,440337.53778030287
Italy,Pepsi Max (L3),2025,3,AI_forecast,AI_P11F,2023,195120.10723764237
Great Britain,Pepsi Regular (L3),2023,5,AI_forecast,AI_PF,2023,1693544.941673077
Great Britain,7up Free (L3),2023,9,AI_forecast,AI_P03F,2023,1601928.0787400338
Norway,7up (L3),2025,4,AI_forecast,AI_P11F,2023,0.0
Norway,Mountain Dew (L3),2024,2,AI_forecast,AI_PF,2023,1488.4357939938268
Netherlands,Pepsi Max (L3),2024,4,AI_forecast,AI_P02F,2023,906267.1483370225
Norway,Mountain Dew (L3),2024,6,AI_forecast,AI_P10F,2023,14340.266600716228
Spain,Pepsi Regular (L3),2023,11,AI_forecast,AI_P09F,2023,142171.74975424772
Great Britain,Pepsi Max (L3),2024,3,AI_forecast,AI_P12F,2023,1.182358585381484E7
Italy,Pepsi Regular (L3),2023,11,AI_forecast,AI_P06F,2023,1893840.966209518
Hungary,Mountain Dew (L3),2023,6,AI_forecast,AI_P03F,2023,43091.31194592106
Denmark,Pepsi Max (L3),2023,8,AI_forecast,AI_P08F,2023,2379085.5615788945
Great Britain,Pepsi Regular (L3),2023,12,AI_forecast,AI_P02F,2023,1388136.7947896537
Spain,Pepsi Max (L3),2024,11,AI_forecast,AI_P11F,2023,139907.65173086667
Czech,Pepsi Max (L3),2023,11,AI_forecast,AI_P03F,2023,376770.9644111505
Czech,7up (L3),2023,10,AI_forecast,AI_P10F,2023,51822.27651283288
Netherlands,Pepsi Max (L3),2023,4,AI_forecast,AI_P02F,2023,726212.0075695054
Norway,Pepsi Max (L3),2024,6,AI_forecast,AI_PF,2023,2638805.237866199
Norway,7up Free (L3),2024,4,AI_forecast,AI_P03F,2023,33139.70237137024
Hungary,Mountain Dew (L3),2024,7,AI_forecast,AI_P11F,2023,52354.067348211924
Great Britain,7up Free (L3),2023,11,AI_forecast,AI_P07F,2023,1009527.3138865283
Netherlands,Pepsi Max (L3),2023,7,AI_forecast,AI_P07F,2023,909696.9860593057
Great Britain,7up (L3),2024,10,AI_forecast,AI_P12F,2023,352903.5318369809
Netherlands,Pepsi Regular (L3),2024,1,AI_forecast,AI_P03F,2023,543960.4494555917
Spain,7up (L3),2024,6,AI_forecast,AI_P02F,2023,58099.95465012265
Italy,Pepsi Max (L3),2024,8,AI_forecast,AI_P03F,2023,183832.94713820406
Spain,7up Free (L3),2024,8,AI_forecast,AI_P10F,2023,101263.30087057114
Spain,7up Free (L3),2025,2,AI_forecast,AI_P10F,2023,68450.46829053655
Netherlands,Pepsi Max (L3),2023,9,AI_forecast,AI_P08F,2023,922531.9922427204
Netherlands,Mountain Dew (L3),2024,9,AI_forecast,AI_P11F,2023,0.0
Czech,Pepsi Regular (L3),2023,10,AI_forecast,AI_P05F,2023,923949.2635642254
Hungary,7up Free (L3),2025,1,AI_forecast,AI_P09F,2023,111496.42988267264
Great Britain,Pepsi Max (L3),2023,11,AI_forecast,AI_P03F,2023,1.103193498123825E7
Great Britain,Lipton (L3),2024,6,AI_forecast,AI_P02F,2023,666490.6377714201
Great Britain,Mountain Dew (L3),2024,2,AI_forecast,AI_P10F,2023,130366.70589266825
Spain,Pepsi Max (L3),2024,5,AI_forecast,AI_P09F,2023,81970.52071706644
Denmark,Pepsi Regular (L3),2025,1,AI_forecast,AI_P10F,2023,180713.2758754967
Norway,Pepsi Max (L3),2023,3,AI_forecast,AI_PF,2023,2818817.345810435
Portugal,Pepsi Max (L3),2023,2,AI_forecast,AI_P02F,2023,149193.72725320075
Netherlands,Pepsi Regular (L3),2024,2,AI_forecast,AI_P04F,2023,491674.8976937412
Spain,Pepsi Max (L3),2024,9,AI_forecast,AI_P10F,2023,155112.01905286152
Netherlands,7up (L3),2024,2,AI_forecast,AI_P12F,2023,32856.8050209958
Norway,Pepsi Regular (L3),2024,7,AI_forecast,AI_P11F,2023,48836.21910395556
Hungary,Lipton (L3),2024,11,AI_forecast,AI_P06F,2023,246467.83662337833
Denmark,Mountain Dew (L3),2023,6,AI_forecast,AI_P02F,2023,25557.843929774062
Netherlands,Pepsi Regular (L3),2023,4,AI_forecast,AI_P02F,2023,414212.53479327966
Great Britain,Pepsi Max (L3),2024,2,AI_forecast,AI_P07F,2023,9188521.216066988
Great Britain,Pepsi Max (L3),2023,12,AI_forecast,AI_P02F,2023,1.1646447327171713E7
Great Britain,Lipton (L3),2023,9,AI_forecast,AI_P06F,2023,652817.9692179698
Hungary,Pepsi Regular (L3),2025,2,AI_forecast,AI_P11F,2023,581226.0349635547
Great Britain,7up (L3),2025,1,AI_forecast,AI_P08F,2023,56093.38623034606
Spain,7up Free (L3),2024,8,AI_forecast,AI_P07F,2023,99273.66372300715
Denmark,Pepsi Regular (L3),2023,5,AI_forecast,AI_PF,2023,191683.13814367919
Norway,7up (L3),2025,3,AI_forecast,AI_P10F,2023,1927.2914832781403
Portugal,Lipton (L3),2023,8,AI_forecast,AI_P02F,2023,1322842.4217393564
Hungary,Pepsi Max (L3),2023,5,AI_forecast,AI_P04F,2023,521717.36566215236
Great Britain,Lipton (L3),2023,10,AI_forecast,AI_PF,2023,603004.3450239958
Great Britain,Mountain Dew (L3),2024,2,AI_forecast,AI_P12F,2023,129853.90834545979
Spain,Pepsi Max (L3),2023,11,AI_forecast,AI_P04F,2023,94412.60772634395
Spain,7up Free (L3),2023,9,AI_forecast,AI_P07F,2023,76299.31926783688
Great Britain,7up (L3),2024,5,AI_forecast,AI_P07F,2023,97685.64630120627
Portugal,Pepsi Regular (L3),2024,12,AI_forecast,AI_P07F,2023,195889.29499544122
Great Britain,Mountain Dew (L3),2024,10,AI_forecast,AI_P11F,2023,133094.19586952537
Czech,Pepsi Max (L3),2024,5,AI_forecast,AI_P04F,2023,420345.8903781387
Netherlands,Pepsi Max (L3),2024,6,AI_forecast,AI_P12F,2023,1297652.4586628329
Netherlands,Pepsi Max (L3),2024,5,AI_forecast,AI_P11F,2023,924518.2006017974
Spain,7up Free (L3),2024,10,AI_forecast,AI_P05F,2023,87718.00183745829
Norway,Pepsi Max (L3),2024,3,AI_forecast,AI_P05F,2023,2807678.4455620274
Netherlands,Lipton (L3),2023,10,AI_forecast,AI_P03F,2023,1521987.6600627159
Great Britain,Pepsi Max (L3),2024,3,AI_forecast,AI_P08F,2023,1.1523864203317467E7
Hungary,7up Free (L3),2024,6,AI_forecast,AI_P04F,2023,38600.016286292725
Hungary,Lipton (L3),2025,1,AI_forecast,AI_P09F,2023,299302.7154596227
Hungary,Lipton (L3),2023,10,AI_forecast,AI_PF,2023,313095.87740009377
Portugal,Lipton (L3),2024,2,AI_forecast,AI_P06F,2023,485171.51119630435
Portugal,Lipton (L3),2023,6,AI_forecast,AI_P05F,2023,949487.2690293649
Denmark,Mountain Dew (L3),2024,1,AI_forecast,AI_P08F,2023,33420.62829665121
Italy,Pepsi Max (L3),2024,4,AI_forecast,AI_P06F,2023,174328.17960284714
Denmark,Pepsi Regular (L3),2023,12,AI_forecast,AI_P08F,2023,271617.4963654222
Netherlands,Pepsi Max (L3),2024,10,AI_forecast,AI_P11F,2023,1203969.0118011374
Spain,7up Free (L3),2024,2,AI_forecast,AI_P09F,2023,66629.53063177211
Denmark,Mountain Dew (L3),2023,4,AI_forecast,AI_P04F,2023,18182.430693511786
Norway,7up Free (L3),2025,1,AI_forecast,AI_P09F,2023,43171.652296993256
Great Britain,Mountain Dew (L3),2023,9,AI_forecast,AI_P08F,2023,189019.61765478284
